samplenumber,sample.id,sam,plate,row,col,Num,Trial,con,Inoc,Substrate,Treatment,Type,T.T,Merge.ID,is.control,is.water,is.pythium,Shannon,Simpson,Block,Score
2,2-16s_S2,2,1,B,1,1,T1,30,Inoculated,Peatlite,1_Peatlite,16,1_Peatlite_16s,2-16s_S2_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,6.15951183887816,0.99705416313682,1,2.5
4,4-16s_S4,4,1,D,1,13,T1,16.5,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,16,1_Hammermilled-PTS_16s,4-16s_S4_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.88256468627922,0.996308606522045,1,1.5
5,5-16s_S5,5,1,E,1,14,T1,30.8,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,16,1_Hammermilled-PTS_16s,5-16s_S5_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.47451316468148,0.994723288152696,3,3.5
6,6-16s_S6,6,1,F,1,15,T1,17.8,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,16,1_Hammermilled-PTS_16s,6-16s_S6_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.6245829864027,0.995287934268875,2,2
7,7-16s_S7,7,1,G,1,16,T1,17.7,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,16,1_Hammermilled-PTS_16s,7-16s_S7_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,4.31042891136319,0.980948601778247,3,2.5
8,8-16s_S8,8,1,H,1,17,T1,20.4,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,16,1_Hammermilled-PTS_16s,8-16s_S8_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.25044735513658,0.978058106729238,2,2.5
10,10-16s_S10,10,1,B,2,2,T1,18.3,Inoculated,Peatlite,1_Peatlite,16,1_Peatlite_16s,10-16s_S10_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.38903157004563,0.99378476407063,3,3
15,15-16s_S15,15,1,G,2,21,T1,14.7,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,16,0_Hammermilled-PTS_16s,15-16s_S15_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.96916461092865,0.996489789790083,2,1.5
16,16-16s_S16,16,1,H,2,22,T1,12.9,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,16,0_Hammermilled-PTS_16s,16-16s_S16_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,4.23385834915525,0.979700931568633,3,2
18,18-16s_S18,18,1,B,3,3,T1,26,Inoculated,Peatlite,1_Peatlite,16,1_Peatlite_16s,18-16s_S18_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,4.41232548939862,0.98413471250726,2,3
20,20-16s_S20,20,1,D,3,23,T1,25,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,16,1_Hammermilled-PTS_16s,20-16s_S20_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.0301891195606,0.991641889363838,2,1.5
22,22-16s_S22,22,1,F,3,25,T1,13.5,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,22-16s_S22_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,6.12607738177759,0.995892514787597,1,3
24,24-16s_S24,24,1,H,3,27,T1,25.5,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,24-16s_S24_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.71748088082905,0.994854677807476,2,1.5
26,26-16s_S26,26,1,B,4,4,T1,29.4,Inoculated,Peatlite,1_Peatlite,16,1_Peatlite_16s,26-16s_S26_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,3.79141364598815,0.970292221588219,3,3.5
