sample.id,sam,plate,row,col,Num,Trial,con,Inoc,Substrate,Treatment,Type,T.T,Merge.ID,is.control,is.water,is.pythium,Shannon,Simpson,Block,Score
10-ITS_S202,10,1,B,2,2,T1,18.3,Inoculated,Peatlite,1_Peatlite,ITS,1_Peatlite_ITS,10-ITS_S202_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,1.85671142854888,0.645720771027896,3,3
101-ITS_S293,101,2,E,1,17,T2,42,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,ITS,1_Hammermilled-PTS_ITS,101-ITS_S293_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,1.95271683457355,0.627955999893097,2,1.5
102-ITS_S294,102,2,F,1,18,T2,13.7,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,ITS,1_Hammermilled-PTS_ITS,102-ITS_S294_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,1.86241112941387,0.596847740586422,1,2
103-ITS_S295,103,2,G,1,19,T2,35.3,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,ITS,0_Hammermilled-PTS_ITS,103-ITS_S295_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,1.7453520495945,0.592835871881892,1,1
104-ITS_S296,104,2,H,1,20,T2,19.5,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,ITS,0_Hammermilled-PTS_ITS,104-ITS_S296_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,1.80590949605682,0.601478379556964,3,0.5
105-ITS_S297,105,2,A,2,21,T2,26.7,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,ITS,0_Hammermilled-PTS_ITS,105-ITS_S297_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,1.92455286925773,0.640991095379438,2,0.5
106-ITS_S298,106,2,B,2,22,T2,13.7,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,ITS,0_Hammermilled-PTS_ITS,106-ITS_S298_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,0.929456020226541,0.342519671587838,3,0.5
107-ITS_S299,107,2,C,2,23,T2,16.2,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,ITS,0_Hammermilled-PTS_ITS,107-ITS_S299_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,1.80765545523467,0.624711792296408,2,0
108-ITS_S300,108,2,D,2,24,T2,16,Water Control,Hammer-milled Pine Tree Substrate (PTS),0_Hammermilled-PTS,ITS,0_Hammermilled-PTS_ITS,108-ITS_S300_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,1.87077663502243,0.617332358498755,1,0.5
109-ITS_S301,109,2,E,2,25,T2,24.3,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,ITS,1_Disc-refined GF_ITS,109-ITS_S301_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.53817763530362,0.824816885767135,1,2
